Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoMaxBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
avl,79,248899,22542,137.533224,0.000553,0.171396,0.000380,16,11,16,2913088,2921001,16870
rbt,79,248899,22542,107.097453,0.000430,0.161190,0.000379,17,10,17,2902921,2912680,14092
bst,80,249370,22579,152.504895,0.000612,0.086248,0.000331,34,7,34,3199561,3222140,0
avl,80,249370,22579,137.903469,0.000553,0.171396,0.000380,16,11,16,2918917,2926850,16889
rbt,80,249370,22579,107.337320,0.000430,0.161190,0.000379,17,10,17,2908659,2918438,14112
bst,81,250780,22685,153.398840,0.000612,0.086248,0.000331,34,7,34,3218541,3241226,0
avl,81,250780,22685,138.786311,0.000553,0.171396,0.000380,16,11,16,2935804,2943767,16975
rbt,81,250780,22685,108.014293,0.000431,0.161190,0.000379,17,10,17,2925946,2935767,14182
bst,82,251807,22721,154.029933,0.000612,0.086248,0.000331,34,7,34,3231885,3254606,0
avl,82,251807,22721,139.329215,0.000553,0.171396,0.000380,16,11,16,2948054,2956024,17012
rbt,82,251807,22721,108.487102,0.000431,0.161190,0.000379,17,10,17,2938472,2948309,14203
bst,83,252703,22752,155.078661,0.000614,0.086248,0.000331,34,7,34,3243464,3266216,0
avl,83,252703,22752,140.133278,0.000555,0.171396,0.000380,16,11,16,2958686,2966667,17036
rbt,83,252703,22752,109.115795,0.000432,0.161190,0.000379,17,10,17,2949176,2959029,14219
bst,84,255791,22853,156.796843,0.000613,0.086248,0.000330,34,7,34,3284819,3307672,0
avl,84,255791,22853,141.775225,0.000554,0.171396,0.000380,16,11,16,2996353,3004372,17109
rbt,84,255791,22853,110.454845,0.000432,0.161190,0.000379,17,10,17,2986804,2996698,14288
bst,85,259452,23058,159.369405,0.000614,0.086248,0.000330,34,7,34,3332366,3355424,0
avl,85,259452,23058,144.127031,0.000556,0.171396,0.000380,16,11,16,3040453,3048560,17240
rbt,85,259452,23058,112.408325,0.000433,0.161190,0.000379,17,10,17,3032043,3042042,14398
bst,86,262976,23256,162.211853,0.000617,0.086248,0.000330,34,7,34,3378126,3401382,0
avl,86,262976,23256,146.465976,0.000557,0.171396,0.000380,16,11,16,3082662,3090837,17390
rbt,86,262976,23256,114.250891,0.000434,0.161190,0.000379,17,10,17,3074696,3084792,14509
bst,87,267090,23467,165.117798,0.000618,0.086248,0.000330,34,7,34,3437465,3460932,0
avl,87,267090,23467,148.960137,0.000558,0.171396,0.000380,16,11,16,3134294,3142534,17561
rbt,87,267090,23467,116.320153,0.000436,0.161190,0.000380,17,10,17,3125635,3135824,14639
bst,88,273137,23852,169.001510,0.000619,0.086248,0.000330,34,7,34,3514945,3538797,0
avl,88,273137,23852,152.753916,0.000559,0.171396,0.000380,16,11,16,3207063,3215427,17870
rbt,88,273137,23852,119.220826,0.000436,0.161190,0.000379,17,10,17,3198568,3208932,14868
bst,89,275008,23943,170.379879,0.000620,0.086248,0.000330,34,7,34,3539613,3563556,0
avl,89,275008,23943,154.057292,0.000560,0.171396,0.000380,17,11,17,3229674,3238076,17933
rbt,89,275008,23943,120.240888,0.000437,0.161190,0.000379,17,10,17,3221206,3231604,14928
bst,90,276637,24019,171.328611,0.000619,0.086248,0.000330,34,7,34,3560318,3584337,0
avl,90,276637,24019,154.990534,0.000560,0.171396,0.000381,17,11,17,3249512,3257940,17993
rbt,90,276637,24019,121.031654,0.000438,0.161190,0.000379,17,10,17,3241282,3251715,14969
bst,91,279029,24146,173.697185,0.000623,0.086248,0.000330,34,7,34,3591549,3615695,0
avl,91,279029,24146,157.067801,0.000563,0.253158,0.000382,17,11,17,3278799,3287273,18091
rbt,91,279029,24146,122.846849,0.000440,0.161190,0.000379,17,10,17,3270517,3281021,15034
bst,92,281492,24243,176.060986,0.000625,0.086248,0.000330,34,7,34,3624008,3648251,0
avl,92,281492,24243,158.830425,0.000564,0.253158,0.000382,17,11,17,3308245,3316748,18163
rbt,92,281492,24243,124.378392,0.000442,0.161190,0.000380,17,10,17,3299900,3310439,15101
bst,93,282091,24268,176.459725,0.000626,0.086248,0.000330,34,7,34,3631754,3656022,0
avl,93,282091,24268,159.250376,0.000565,0.253158,0.000382,17,11,17,3315521,3324026,18189
rbt,93,282091,24268,124.685833,0.000442,0.161190,0.000380,17,10,17,3307156,3317703,15119
bst,94,282943,24316,177.072833,0.000626,0.086248,0.000330,34,7,34,3643169,3667485,0
avl,94,282943,24316,159.810185,0.000565,0.253158,0.000382,17,11,17,3325738,3334259,18224
rbt,94,282943,24316,125.094257,0.000442,0.161190,0.000380,17,10,17,3317486,3328051,15151
bst,95,284420,24426,178.540679,0.000628,0.086248,0.000330,34,7,34,3661801,3686227,0
avl,95,284420,24426,161.139270,0.000567,0.253158,0.000382,17,11,17,3343774,3352346,18296
rbt,95,284420,24426,126.081398,0.000443,0.161190,0.000380,17,10,17,3335487,3346099,15221
bst,96,286993,24518,180.203017,0.000628,0.086248,0.000330,34,7,34,3695002,3719520,0
